# # q/A,1000000.0x,2000000.0x,3000000.0x,4000000.0x,5000000.0x,6000000.0x,7000000.0x,8000000.0x,9000000.0x,10000000.0
# 
0.20772596,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.21514475,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22256353,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22998232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.23740110,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.24481988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.25223867,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.25965745,0.00000000,0.00000037,0.00000021,0.00000027,0.00000021,0.00000048,0.00000052,0.00000000,0.00000000,0.00000000
0.26707624,0.00000000,0.00000030,0.00000014,0.00000013,0.00000025,0.00000031,0.00000021,0.00000000,0.00000000,0.00000000
0.27449502,0.00000000,0.00000028,0.00000014,0.00000012,0.00000025,0.00000022,0.00000030,0.00000000,0.00000000,0.00000000
0.28191381,0.00000000,0.00000017,0.00000014,0.00000011,0.00000021,0.00000023,0.00000023,0.00000000,0.00000000,0.00000000
0.28933259,0.00000000,0.00000020,0.00000013,0.00000011,0.00000020,0.00000015,0.00000032,0.00000000,0.00000000,0.00000000
0.29675137,0.00000000,0.00000021,0.00000011,0.00000010,0.00000018,0.00000017,0.00000037,0.00000000,0.00000000,0.00000000
0.30417016,0.00000000,0.00000026,0.00000015,0.00000014,0.00000021,0.00000019,0.00000036,0.00000000,0.00000000,0.00000000
0.31158894,0.00000000,0.00000025,0.00000011,0.00000012,0.00000019,0.00000018,0.00000032,0.00000000,0.00000000,0.00000000
0.31900773,0.00000000,0.00000021,0.00000012,0.00000012,0.00000022,0.00000013,0.00000027,0.00000000,0.00000000,0.00000000
