# # q/A,25.0fs,50.0fs,60.0fs,70.0fs,80.0fs,90.0fs,100.0
# 
0.72704087,0.00341688,0.00347454,0.00375549,0.00384176,0.00420106,0.00434595,0.00438070
0.73445965,0.00336383,0.00347356,0.00377380,0.00386669,0.00421772,0.00434386,0.00438354
0.74187844,0.00326864,0.00348601,0.00377797,0.00387356,0.00419371,0.00433831,0.00437873
0.74929722,0.00329931,0.00348675,0.00379900,0.00389337,0.00420290,0.00432498,0.00437426
0.75671601,0.00339482,0.00347242,0.00378939,0.00387863,0.00418985,0.00432766,0.00435701
0.76413479,0.00326475,0.00345767,0.00378727,0.00388286,0.00415767,0.00429779,0.00433517
0.77155357,0.00330091,0.00348489,0.00380938,0.00389995,0.00417218,0.00432367,0.00435299
0.77897236,0.00329866,0.00348246,0.00382229,0.00391009,0.00418221,0.00429228,0.00433097
0.78639114,0.00325871,0.00346849,0.00381951,0.00390913,0.00416598,0.00428301,0.00432321
0.79380993,0.00330281,0.00346982,0.00382937,0.00391543,0.00415618,0.00426810,0.00430574
0.80122871,0.00332093,0.00345810,0.00384248,0.00392605,0.00415747,0.00425974,0.00430518
0.80864750,0.00322930,0.00347263,0.00386178,0.00394065,0.00416615,0.00426273,0.00429517
0.81606628,0.00326060,0.00343468,0.00383130,0.00391498,0.00413523,0.00426242,0.00427170
0.82348507,0.00322860,0.00347727,0.00386364,0.00393999,0.00413976,0.00426171,0.00427949
0.83090385,0.00323417,0.00348222,0.00386467,0.00394392,0.00415576,0.00426443,0.00427632
0.83832263,0.00320511,0.00344813,0.00386463,0.00394057,0.00411785,0.00422798,0.00424716
0.84574142,0.00321619,0.00346671,0.00389202,0.00397113,0.00411844,0.00422489,0.00425356
0.85316020,0.00323579,0.00346207,0.00387893,0.00395275,0.00409041,0.00419685,0.00420823
0.86057899,0.00321491,0.00346849,0.00389807,0.00396948,0.00407934,0.00418898,0.00421555
0.86799777,0.00317096,0.00346133,0.00389751,0.00397119,0.00409162,0.00418757,0.00420818
0.87541656,0.00325111,0.00343074,0.00387926,0.00395033,0.00405568,0.00417659,0.00418934
0.88283534,0.00318754,0.00344754,0.00390108,0.00397444,0.00406762,0.00416820,0.00418344
0.89025412,0.00309491,0.00345820,0.00391172,0.00397624,0.00404368,0.00415102,0.00416136
0.89767291,0.00310509,0.00343916,0.00389804,0.00396371,0.00403761,0.00413965,0.00415130
0.90509169,0.00318623,0.00343541,0.00389932,0.00396576,0.00403721,0.00414007,0.00413977
0.91251048,0.00310502,0.00343498,0.00390565,0.00397278,0.00404200,0.00411390,0.00412085
0.91992926,0.00312162,0.00344567,0.00391853,0.00397933,0.00402806,0.00411338,0.00411565
0.92734805,0.00316199,0.00342629,0.00392201,0.00397615,0.00400798,0.00409719,0.00410382
0.93476683,0.00303916,0.00342916,0.00390575,0.00396295,0.00398835,0.00407880,0.00408166
0.94218562,0.00318447,0.00342209,0.00391411,0.00396808,0.00398652,0.00407169,0.00407016
0.94960440,0.00309030,0.00342033,0.00391016,0.00396263,0.00396787,0.00405231,0.00404723
0.95702318,0.00309237,0.00341464,0.00392142,0.00397522,0.00396463,0.00404688,0.00403941
0.96444197,0.00310927,0.00341759,0.00392202,0.00397151,0.00394502,0.00402118,0.00402607
0.97186075,0.00312969,0.00341870,0.00391981,0.00396983,0.00393282,0.00401293,0.00400532
0.97927954,0.00318185,0.00341399,0.00391516,0.00396836,0.00392462,0.00400274,0.00399435
0.98669832,0.00313325,0.00341547,0.00390975,0.00396155,0.00391583,0.00400000,0.00399159
0.99411711,0.00313203,0.00340639,0.00392828,0.00397301,0.00391369,0.00398501,0.00397681
1.00153589,0.00314996,0.00340654,0.00391619,0.00396244,0.00389557,0.00396758,0.00395981
1.00895467,0.00307559,0.00340236,0.00390203,0.00394442,0.00388162,0.00395094,0.00393034
1.01637346,0.00305068,0.00340057,0.00389909,0.00393842,0.00385623,0.00392768,0.00391908
1.02379224,0.00312808,0.00341179,0.00392100,0.00395703,0.00384552,0.00392225,0.00391916
1.03121103,0.00304612,0.00340764,0.00391724,0.00395699,0.00385280,0.00391349,0.00389464
1.03862981,0.00309255,0.00339453,0.00391173,0.00394349,0.00384846,0.00390777,0.00389063
1.04604860,0.00304692,0.00338502,0.00390414,0.00393910,0.00381304,0.00389567,0.00386989
1.05346738,0.00303372,0.00337642,0.00389705,0.00393195,0.00381566,0.00389133,0.00385743
1.06088616,0.00304382,0.00338615,0.00389638,0.00392922,0.00379395,0.00385896,0.00384349
1.06830495,0.00301498,0.00338421,0.00390436,0.00393131,0.00378540,0.00385874,0.00384253
1.07572373,0.00304121,0.00338993,0.00391255,0.00394020,0.00378945,0.00385059,0.00383399
1.08314252,0.00300656,0.00337124,0.00390369,0.00391630,0.00377688,0.00382989,0.00380504
1.09056130,0.00301770,0.00337264,0.00389563,0.00391782,0.00376199,0.00382125,0.00378979
1.09798009,0.00301039,0.00338283,0.00388679,0.00390802,0.00376414,0.00382166,0.00378625
1.10539887,0.00300068,0.00336028,0.00386734,0.00389066,0.00374174,0.00378546,0.00376134
1.11281766,0.00300237,0.00337112,0.00388065,0.00389575,0.00373584,0.00378406,0.00375466
1.12023644,0.00299436,0.00337622,0.00388942,0.00390648,0.00373183,0.00378412,0.00376002
1.12765522,0.00297027,0.00336753,0.00387977,0.00389456,0.00371237,0.00376261,0.00372683
1.13507401,0.00308237,0.00335514,0.00386523,0.00387826,0.00370490,0.00376863,0.00372507
1.14249279,0.00298283,0.00335338,0.00384461,0.00386283,0.00369410,0.00375099,0.00370828
1.14991158,0.00302650,0.00335120,0.00385592,0.00386949,0.00369666,0.00373291,0.00369212
1.15733036,0.00299675,0.00333679,0.00385058,0.00385973,0.00367753,0.00372411,0.00369119
1.16474915,0.00299571,0.00334603,0.00384459,0.00385150,0.00367437,0.00371395,0.00366780
1.17216793,0.00295795,0.00332565,0.00383009,0.00383758,0.00365160,0.00369344,0.00365554
1.17958671,0.00298854,0.00332164,0.00381935,0.00382269,0.00363223,0.00368758,0.00364482
1.18700550,0.00306587,0.00333418,0.00382349,0.00382938,0.00362933,0.00368437,0.00364412
1.19442428,0.00303457,0.00333816,0.00382445,0.00382400,0.00362054,0.00365905,0.00362429
1.20184307,0.00294251,0.00332890,0.00380807,0.00381109,0.00360403,0.00365873,0.00361346
1.20926185,0.00297066,0.00331738,0.00380595,0.00380432,0.00359231,0.00364662,0.00359945
1.21668064,0.00303245,0.00332400,0.00380002,0.00379563,0.00358304,0.00362873,0.00358464
1.22409942,0.00303955,0.00330606,0.00379091,0.00378920,0.00357426,0.00361423,0.00357344
1.23151821,0.00295891,0.00332305,0.00379433,0.00379066,0.00357569,0.00362054,0.00357685
1.23893699,0.00299638,0.00331471,0.00378826,0.00378868,0.00356341,0.00360427,0.00356822
1.24635577,0.00299100,0.00332303,0.00378601,0.00378326,0.00357040,0.00360894,0.00356144
1.25377456,0.00297444,0.00332907,0.00380108,0.00379444,0.00356593,0.00361180,0.00356290
1.26119334,0.00295774,0.00330941,0.00377418,0.00376472,0.00355293,0.00360226,0.00354472
1.26861213,0.00296082,0.00329725,0.00375319,0.00374436,0.00353232,0.00357751,0.00352480
1.27603091,0.00298178,0.00330519,0.00375537,0.00374792,0.00352221,0.00356288,0.00351727
1.28344970,0.00292848,0.00330335,0.00374823,0.00373800,0.00351815,0.00355993,0.00350456
1.29086848,0.00297620,0.00331632,0.00376077,0.00374592,0.00352139,0.00356293,0.00351156
1.29828726,0.00294840,0.00332162,0.00376528,0.00375420,0.00351540,0.00356687,0.00351244
1.30570605,0.00297262,0.00331338,0.00375243,0.00373879,0.00351420,0.00356138,0.00351114
1.31312483,0.00297590,0.00331065,0.00374303,0.00372428,0.00350762,0.00355243,0.00349424
1.32054362,0.00297251,0.00333450,0.00376391,0.00374597,0.00351439,0.00355284,0.00350888
1.32796240,0.00303463,0.00332010,0.00373488,0.00372123,0.00351049,0.00353450,0.00348482
1.33538119,0.00301260,0.00329639,0.00371412,0.00369986,0.00348040,0.00351423,0.00345806
1.34279997,0.00300932,0.00330848,0.00372584,0.00370793,0.00348845,0.00352256,0.00347003
1.35021876,0.00302462,0.00329954,0.00370130,0.00368269,0.00346042,0.00349246,0.00343749
1.35763754,0.00296397,0.00329311,0.00369550,0.00367883,0.00346338,0.00349593,0.00343563
1.36505632,0.00300025,0.00330844,0.00371914,0.00370018,0.00345710,0.00349592,0.00344962
1.37247511,0.00305412,0.00329589,0.00368459,0.00367216,0.00344699,0.00348121,0.00341933
